team_id,team_name,country,country_code,domestic_league
AO-UEFA-50048,AF Elbasani,Albania,ALB,Albania top division
AO-UEFA-52792,Dinamo Tirana,Albania,ALB,Albania top division
AO-UEFA-88148,Egnatia Rrogozhinë,Albania,ALB,Albania top division
AO-UEFA-52878,Vllaznia Shkodër,Albania,ALB,Albania top division
AO-UEFA-88371,Atlètic Club d'Escaldes,Andorra,AND,Andorra top division
AO-UEFA-62180,FC Santa Coloma,Andorra,AND,Andorra top division
AO-UEFA-63401,Inter Club d'Escaldes,Andorra,AND,Andorra top division
AO-UEFA-2605268,Alashkert FC,Armenia,ARM,Armenia top division
AO-UEFA-2610304,Ararat-Armenia,Armenia,ARM,Armenia top division
AO-UEFA-2609987,FC Noah,Armenia,ARM,Armenia top division
AO-UEFA-77431,Pyunik Yerevan,Armenia,ARM,Armenia top division
AO-UEFA-50110,Austria Wien,Austria,AUT,Austria top division
AO-UEFA-50030,FC Salzburg,Austria,AUT,Austria top division
AO-UEFA-63405,LASK,Austria,AUT,Austria top division
AO-UEFA-50042,Rapid Wien,Austria,AUT,Austria top division
AO-UEFA-50111,Sturm Graz,Austria,AUT,Austria top division
AO-UEFA-59890,Neftchi Baku,Azerbaijan,AZB,Azerbaijan top division
AO-UEFA-60609,Qarabag FK,Azerbaijan,AZB,Azerbaijan top division
AO-UEFA-2609356,Sabah FK,Azerbaijan,AZB,Azerbaijan top division
AO-UEFA-2607480,Zira FK,Azerbaijan,AZB,Azerbaijan top division
AO-UEFA-66168,BATE Borisov,Belarus,BLS,Belarus top division
AO-UEFA-50161,Dinamo Minsk,Belarus,BLS,Belarus top division
AO-UEFA-2613945,ML Vitebsk,Belarus,BLS,Belarus top division
AO-UEFA-4608,AA Gent,Belgium,BEL,Belgium top division
AO-UEFA-50074,Anderlecht,Belgium,BEL,Belgium top division
AO-UEFA-50043,Club Brugge,Belgium,BEL,Belgium top division
AO-UEFA-52883,Sint-Truiden,Belgium,BEL,Belgium top division
AO-UEFA-64125,Union Saint-Gilloise,Belgium,BEL,Belgium top division
AO-UEFA-50104,Borac Banja Luka,Bosnia-Herzegovina,BOS,Bosnia-Herzegovina top division
AO-UEFA-64378,FK Sarajevo,Bosnia-Herzegovina,BOS,Bosnia-Herzegovina top division
AO-UEFA-50163,Velez Mostar,Bosnia-Herzegovina,BOS,Bosnia-Herzegovina top division
AO-UEFA-73390,Zrinjski Mostar,Bosnia-Herzegovina,BOS,Bosnia-Herzegovina top division
AO-UEFA-2610262,CSKA 1948 Sofia,Bulgaria,BUL,Bulgaria top division
AO-UEFA-2608297,CSKA Sofia,Bulgaria,BUL,Bulgaria top division
AO-UEFA-50044,Levski Sofia,Bulgaria,BUL,Bulgaria top division
AO-UEFA-2603104,Ludogorets Razgrad,Bulgaria,BUL,Bulgaria top division
AO-UEFA-50164,Dinamo Zagreb,Croatia,CRO,Croatia top division
AO-UEFA-52359,Hajduk Split,Croatia,CRO,Croatia top division
AO-UEFA-52356,NK Rijeka,Croatia,CRO,Croatia top division
AO-UEFA-60514,NK Varazdin,Croatia,CRO,Croatia top division
AO-UEFA-54191,AEK Larnaca,Cyprus,CYP,Cyprus top division
AO-UEFA-52741,Apollon Limassol,Cyprus,CYP,Cyprus top division
AO-UEFA-50077,Omonia Nicosia,Cyprus,CYP,Cyprus top division
AO-UEFA-2609532,Pafos FC,Cyprus,CYP,Cyprus top division
AO-UEFA-62169,FK Jablonec,Czechia,CZE,Czechia top division
AO-UEFA-59878,Hradec Kralove,Czechia,CZE,Czechia top division
AO-UEFA-52498,Slavia Praha,Czechia,CZE,Czechia top division
AO-UEFA-50033,Sparta Praha,Czechia,CZE,Czechia top division
AO-UEFA-64388,Viktoria Plzen,Czechia,CZE,Czechia top division
AO-UEFA-50019,AGF Aarhus,Denmark,DEN,Denmark top division
AO-UEFA-52709,FC København,Denmark,DEN,Denmark top division
AO-UEFA-75795,FC Midtjylland,Denmark,DEN,Denmark top division
AO-UEFA-79940,FC Nordsjælland,Denmark,DEN,Denmark top division
AO-UEFA-2601124,AFC Bournemouth,England,ENG,England top division
AO-UEFA-52280,Arsenal,England,ENG,England top division
AO-UEFA-52683,Aston Villa,England,ENG,England top division
AO-UEFA-2601105,Brighton & Hove Albion,England,ENG,England top division
AO-UEFA-52916,Crystal Palace,England,ENG,England top division
AO-UEFA-7889,Liverpool,England,ENG,England top division
AO-UEFA-52919,Manchester City,England,ENG,England top division
AO-UEFA-52682,Manchester United,England,ENG,England top division
AO-UEFA-53360,Sunderland AFC,England,ENG,England top division
AO-UEFA-59341,Flora Tallinn,Estonia,EST,Estonia top division
AO-UEFA-2600371,Kalju Nomme,Estonia,EST,Estonia top division
AO-UEFA-77482,Levadia Tallinn,Estonia,EST,Estonia top division
AO-UEFA-2600598,Paide Linnameeskond,Estonia,EST,Estonia top division
AO-UEFA-59025,HB Torshavn,Faroe Islands,FAR,Faroe Islands top division
AO-UEFA-57475,KI Klaksvik,Faroe Islands,FAR,Faroe Islands top division
AO-UEFA-64150,NSI Runavik,Faroe Islands,FAR,Faroe Islands top division
AO-UEFA-59325,Víkingur,Faroe Islands,FAR,Faroe Islands top division
AO-UEFA-50052,HJK Helsinki,Finland,FIN,Finland top division
AO-UEFA-2602511,Ilves Tampere,Finland,FIN,Finland top division
AO-UEFA-64161,Inter Turku,Finland,FIN,Finland top division
AO-UEFA-52350,KuPS Kuopio,Finland,FIN,Finland top division
AO-UEFA-50023,AS Monaco,France,FRA,France top division
AO-UEFA-75797,Lille OSC,France,FRA,France top division
AO-UEFA-5312,Olympique Lyon,France,FRA,France top division
AO-UEFA-52748,Olympique Marseille,France,FRA,France top division
AO-UEFA-52747,Paris Saint-Germain,France,FRA,France top division
AO-UEFA-52277,RC Lens,France,FRA,France top division
AO-UEFA-55031,Stade Rennais,France,FRA,France top division
AO-UEFA-64467,Dila Gori,Georgia,GEO,Georgia top division
AO-UEFA-52705,Dinamo Tbilisi,Georgia,GEO,Georgia top division
AO-UEFA-2605905,Iberia 1999,Georgia,GEO,Georgia top division
AO-UEFA-64471,Torpedo Kutaisi,Georgia,GEO,Georgia top division
AO-UEFA-2600431,1899 Hoffenheim,Germany,GER,Germany top division
AO-UEFA-50109,Bayer Leverkusen,Germany,GER,Germany top division
AO-UEFA-50037,Bayern München,Germany,GER,Germany top division
AO-UEFA-52758,Borussia Dortmund,Germany,GER,Germany top division
AO-UEFA-2603790,RB Leipzig,Germany,GER,Germany top division
AO-UEFA-59880,SC Freiburg,Germany,GER,Germany top division
AO-UEFA-50107,VfB Stuttgart,Germany,GER,Germany top division
