season,local_team_id,team_name,country,country_code,club_id,uefa_team_id,uefa_team_name,resolution_method,similarity,runner_up_similarity,identity_status,event_identity_verified
2018/19,1,FK Kukësi,Albania,ALB,AO-UEFA-2604186,2604186,Kukës,exact_name_country,1.0,,VERIFIED,True
2018/19,2,KF Laçi,Albania,ALB,AO-UEFA-64111,64111,Laç,exact_name_country,1.0,,VERIFIED,True
2018/19,3,Luftëtari Gjirokastër,Albania,ALB,AO-UEFA-64110,64110,Luftëtari,fixture_graph_unique,,,VERIFIED,True
2018/19,4,Partizani Tirana,Albania,ALB,AO-UEFA-52876,52876,Partizani,fixture_graph_unique,,,VERIFIED,True
2018/19,5,FC Santa Coloma,Andorra,AND,AO-UEFA-62180,62180,FC Santa Coloma,exact_name_country,1.0,,VERIFIED,True
2018/19,6,Sant Julià,Andorra,AND,AO-UEFA-63399,63399,Sant Julià,exact_name_country,1.0,,VERIFIED,True
2018/19,7,UE Engordany,Andorra,AND,AO-UEFA-84697,84697,Engordany,exact_name_country,1.0,,VERIFIED,True
2018/19,8,Alashkert FC,Armenia,ARM,AO-UEFA-2605268,2605268,Alashkert,fixture_graph_unique,,,VERIFIED,True
2018/19,9,Banants Yerevan,Armenia,ARM,AO-UEFA-77866,77866,Urartu,fixture_graph_unique,,,VERIFIED,True
2018/19,10,Gandzasar Kapan,Armenia,ARM,AO-UEFA-92219,92219,Gandzasar,fixture_graph_unique,,,VERIFIED,True
2018/19,11,Pyunik Yerevan,Armenia,ARM,AO-UEFA-77431,77431,Pyunik,fixture_graph_unique,,,VERIFIED,True
2018/19,12,Admira Wacker,Austria,AUT,AO-UEFA-69180,69180,Admira,fixture_graph_unique,,,VERIFIED,True
2018/19,13,FC Salzburg,Austria,AUT,AO-UEFA-50030,50030,Salzburg,exact_name_country,1.0,,VERIFIED,True
2018/19,14,LASK Linz,Austria,AUT,AO-UEFA-63405,63405,LASK,exact_name_country,1.0,,VERIFIED,True
2018/19,15,Rapid Wien,Austria,AUT,AO-UEFA-50042,50042,SK Rapid,exact_name_country,1.0,,VERIFIED,True
2018/19,16,Sturm Graz,Austria,AUT,AO-UEFA-50111,50111,Sturm Graz,exact_name_country,1.0,,VERIFIED,True
2018/19,17,Gabala FK,Azerbaijan,AZB,AO-UEFA-93628,93628,Gabala,fixture_graph_unique,,,VERIFIED,True
2018/19,18,Kesla FK,Azerbaijan,AZB,AO-UEFA-74072,74072,Şamaxı,fixture_graph_unique,,,VERIFIED,True
2018/19,19,Neftchi Baku,Azerbaijan,AZB,AO-UEFA-59890,59890,Neftchi,fixture_graph_unique,,,VERIFIED,True
2018/19,20,Qarabag FK,Azerbaijan,AZB,AO-UEFA-60609,60609,Qarabağ,exact_name_country,1.0,,VERIFIED,True
2018/19,21,BATE Borisov,Belarus,BLS,AO-UEFA-66168,66168,BATE,fixture_graph_unique,,,VERIFIED,True
2018/19,22,Dinamo Minsk,Belarus,BLS,AO-UEFA-50161,50161,Dinamo-Minsk,exact_name_country,1.0,,VERIFIED,True
2018/19,23,Dynamo Brest,Belarus,BLS,AO-UEFA-64374,64374,Dynamo Brest,exact_name_country,1.0,,VERIFIED,True
2018/19,24,Shakhtior Saligorsk,Belarus,BLS,AO-UEFA-64375,64375,Shakhtyor,fixture_graph_unique,,,VERIFIED,True
2018/19,25,AA Gent,Belgium,BEL,AO-UEFA-4608,4608,Gent,fixture_graph_unique,,,VERIFIED,True
2018/19,26,Anderlecht,Belgium,BEL,AO-UEFA-50074,50074,Anderlecht,exact_name_country,1.0,,VERIFIED,True
2018/19,27,Club Brugge,Belgium,BEL,AO-UEFA-50043,50043,Club Brugge,exact_name_country,1.0,,VERIFIED,True
2018/19,28,Racing Genk,Belgium,BEL,AO-UEFA-61582,61582,Genk,fixture_graph_unique,,,VERIFIED,True
2018/19,29,Standard Liège,Belgium,BEL,AO-UEFA-52165,52165,Standard Liège,exact_name_country,1.0,,VERIFIED,True
2018/19,30,FK Sarajevo,Bosnia-Herzegovina,BOS,AO-UEFA-64378,64378,Sarajevo,exact_name_country,1.0,,VERIFIED,True
2018/19,31,Siroki Brijeg,Bosnia-Herzegovina,BOS,AO-UEFA-73387,73387,Široki Brijeg,exact_name_country,1.0,,VERIFIED,True
2018/19,32,Zeljeznicar Sarajevo,Bosnia-Herzegovina,BOS,AO-UEFA-64381,64381,Željezničar,fixture_graph_unique,,,VERIFIED,True
2018/19,33,Zrinjski Mostar,Bosnia-Herzegovina,BOS,AO-UEFA-73390,73390,Zrinjski,fixture_graph_unique,,,VERIFIED,True
2018/19,34,CSKA Sofia,Bulgaria,BUL,AO-UEFA-2608297,2608297,CSKA Sofia,exact_name_country,1.0,,VERIFIED,True
2018/19,35,Levski Sofia,Bulgaria,BUL,AO-UEFA-50044,50044,Levski Sofia,exact_name_country,1.0,,VERIFIED,True
2018/19,36,Ludogorets Razgrad,Bulgaria,BUL,AO-UEFA-2603104,2603104,Ludogorets,fixture_graph_unique,,,VERIFIED,True
2018/19,37,Slavia Sofia,Bulgaria,BUL,AO-UEFA-50117,50117,Slavia Sofia,exact_name_country,1.0,,VERIFIED,True
